"MoldyGuacamole	Default Role	21. Aug 2017"	" 03:28	69.248.1.182"
"DL_1003	Default Role	17. Aug 2017"	" 22:53	213.119.10.113"
"iChains	Default Role	13. Aug 2017"	" 22:33	148.75.146.203"
"wrathisme	Default Role	21. Aug 2017"	" 06:56	121.214.39.252"
"SilverFox_Games	Default Role	20. Aug 2017"	" 23:02	121.219.249.55"
"Kuvey	Default Role	21. Aug 2017"	" 00:09	66.229.193.188"
"Empathics	Default Role	20. Aug 2017"	" 23:01	73.46.72.114"
"LiteBans	Default Role	15. Aug 2017"	" 17:13	98.113.15.223"
"AdminPlus	Default Role	21. Aug 2017"	" 01:12	74.105.26.155"
"ImFineThanks_	Default Role	21. Aug 2017"	" 06:25	83.80.197.183"
"Ferociously	Default Role	14. Aug 2017"	" 20:00	98.234.127.68"
"SchoolShootOut	Default Role	15. Aug 2017"	" 20:54	75.131.7.124"
"I_LOVE_LUCY	Default Role	20. Aug 2017"	" 19:44	97.120.150.41"
"45hp	Default Role	13. Aug 2017"	" 22:22	170.84.9.197"
"Kickapoopz	Default Role	13. Aug 2017"	" 22:27	76.201.76.204"
"Souply	Default Role	13. Aug 2017"	" 21:13	174.238.145.74"
"NoobMazter	Default Role	20. Aug 2017"	" 19:15	31.201.160.174"
"Pottinq_PvP	Default Role	20. Aug 2017"	" 17:32	184.44.28.122"
"MinecraftWout	Default Role	15. Aug 2017"	" 12:15	84.194.92.26"
"ThatRandomGuyMC	Default Role	21. Aug 2017"	" 06:56	182.239.131.59"
"Twdalek	Default Role	21. Aug 2017"	" 06:56	70.178.30.11"
"Qu1ckedDroqqedU	Default Role	15. Aug 2017"	" 17:32	24.69.118.55"
"ZiiteYT	Default Role	13. Aug 2017"	" 22:23	170.84.9.197"
"iKiddCreations	Default Role	15. Aug 2017"	" 20:14	66.205.150.221"
"ThexFrenzyx	Default Role	13. Aug 2017"	" 21:50	76.246.74.190"
"nytesage	Default Role	14. Aug 2017"	" 23:46	5.69.40.146"
"NLMBZackiey	Default Role	15. Aug 2017"	" 22:01	24.242.205.230"
"Confusinq	Default Role	14. Aug 2017"	" 20:33	181.188.10.187"
"GiftCodes	Default Role	21. Aug 2017"	" 06:56	170.84.9.108"
"Cringxy	Default Role	15. Aug 2017"	" 19:18	73.214.129.189"
"NOBUSHYY	Default Role	19. Aug 2017"	" 04:42	81.197.152.170"
"FatestsAlt	Default Role	15. Aug 2017"	" 19:09	173.243.183.23"
"GMCasper	Default Role	21. Aug 2017"	" 06:51	121.214.39.252"
"sobxrbe	Default Role	20. Aug 2017"	" 18:02	108.206.210.110"
"Plomo	Default Role	21. Aug 2017"	" 06:56	178.208.180.46"
"Recalculation	Default Role	20. Aug 2017"	" 19:48	173.243.183.23"
"FlamE_DyNasty	Default Role	15. Aug 2017"	" 20:53	66.214.128.154"
"ImBanEvading_	Default Role	21. Aug 2017"	" 06:56	37.228.230.148"
"imsevenyearsold	Default Role	21. Aug 2017"	" 06:56	217.199.111.226"
"Namestag	Default Role	20. Aug 2017"	" 19:44	98.201.9.95"
"Plateful	Default Role	20. Aug 2017"	" 23:02	75.173.167.19"
"Cluy	Default Role	20. Aug 2017"	" 18:14	185.170.42.190"
"GiantAW	Default Role	17. Aug 2017"	" 00:26	128.90.116.189"
"DrafterYT	Default Role	21. Aug 2017"	" 04:42	75.159.235.66"
"Apexai	Default Role	15. Aug 2017"	" 00:04	5.69.40.146"
"InfernoMaster21	Default Role	15. Aug 2017"	" 17:33	66.214.128.154"
"IMonYOheadBOI	Default Role	13. Aug 2017"	" 22:07	148.75.146.203"
"LotteryTicket	Default Role	13. Aug 2017"	" 23:30	174.44.85.80"
"defunction	Default Role	21. Aug 2017"	" 04:00	99.244.195.248"
"Pulsings	Default Role	13. Aug 2017"	" 22:52	216.165.222.202"
"Push	Default Role	14. Aug 2017"	" 03:47	69.154.20.143"
"Zylohss	Default Role	14. Aug 2017"	" 02:45	67.161.108.128"
"Voit	Default Role	15. Aug 2017"	" 17:14	170.84.9.197"
"Lohl	Default Role	13. Aug 2017"	" 22:25	104.162.249.204"
"Avdo	Default Role	20. Aug 2017"	" 23:02	69.167.13.29"
"Sxhq	Default Role	14. Aug 2017"	" 02:39	70.40.250.40"
"KittyKatAnn	Default Role	13. Aug 2017"	" 22:22	170.84.9.197"
"Mixton	Default Role	20. Aug 2017"	" 18:02	98.238.139.56"
"sofia__	Default Role	21. Aug 2017"	" 00:09	71.38.229.101"
"Caruhline	Default Role	20. Aug 2017"	" 18:11	73.139.118.184"
"EnjoyThatL	Default Role	20. Aug 2017"	" 23:02	184.56.61.141"
"BongTokez	Default Role	15. Aug 2017"	" 06:31	93.143.5.237"
"Caboolture	Default Role	14. Aug 2017"	" 23:33	69.248.1.182"
"35L	Default Role	13. Aug 2017"	" 18:26	68.104.56.46"
"BanginYourMouth	Default Role	15. Aug 2017"	" 09:51	178.208.176.162"
"PlsDaddy	Default Role	15. Aug 2017"	" 18:50	5.69.40.146"
"Plie	Default Role	13. Aug 2017"	" 22:18	76.246.74.190"
"BabyAlfred	Default Role	13. Aug 2017"	" 21:09	172.90.138.213"
"Truhst	Default Role	14. Aug 2017"	" 20:57	184.54.57.102"
"sofiarose6@gmail.com	Owner	Never	"	
"Fairing	Default Role	20. Aug 2017"	" 17:32	90.221.81.213"
"EnjoyTheL	Default Role	21. Aug 2017"	" 03:28	68.104.56.46"
"MathProblems	Default Role	13. Aug 2017"	" 22:18	73.231.50.189"
"2cent	Default Role	14. Aug 2017"	" 11:21	85.76.48.252"
"IcePlaysMc	Default Role	20. Aug 2017"	" 19:44	100.37.42.141"
"ColdBlade	Default Role	21. Aug 2017"	" 00:09	173.18.80.167"
"NutInMyMeme	Default Role	20. Aug 2017"	" 18:02	86.142.245.203"
"Zielaz	Default Role	14. Aug 2017"	" 20:59	72.133.88.133"
"Steaming	Default Role	20. Aug 2017"	" 18:41	24.182.165.2"
"Trxst	Default Role	20. Aug 2017"	" 18:02	98.164.25.8"
"FasSsT	Default Role	20. Aug 2017"	" 18:02	84.105.90.45"
"Map9	Default Role	15. Aug 2017"	" 20:57	70.24.58.251"
"OSRB	Default Role	21. Aug 2017"	" 06:01	172.10.189.154"
"MK2676	Default Role	14. Aug 2017"	" 01:19	5.69.40.146"
"MCiccosanti	Default Role	21. Aug 2017"	" 00:09	68.235.53.252"
"Antoxic	Default Role	21. Aug 2017"	" 03:28	174.114.182.155"
"FancyScams	Default Role	20. Aug 2017"	" 23:02	73.28.73.196"
"i0y	Default Role	20. Aug 2017"	" 23:02	69.123.180.25"
"EmoSlayer714	Default Role	21. Aug 2017"	" 00:09	69.167.21.247"
"GuusDV	Default Role	20. Aug 2017"	" 18:06	84.24.178.237"
"BrainestBump55	Default Role	20. Aug 2017"	" 20:31	68.228.167.159"
"Zackiey	Default Role	20. Aug 2017"	" 23:02	24.242.205.230"
